x,y,Housing,Cost of Living,Commute,Business Freedom,Safety,Education,Environmental Quality,Economy,Clusters
-1.4373565350984567,-0.09613874733589524,8,6,6,10,8,6,6,6,1
-6.142707067873013,4.827813212432553,10,10,6,10,10,2,4,4,2
-0.8794812393958016,2.5539884537077606,10,6,6,8,8,6,4,4,2
-3.217891855429645,-3.566831196597507,8,6,8,8,10,6,10,4,1
-1.7322124418035987,-3.038465056457471,8,6,6,10,8,6,10,6,1
-0.9776285960134948,-4.116613526297554,6,6,6,10,10,6,10,6,1
-2.7101926875206246,0.09062211876072401,10,8,6,10,8,6,6,6,1
-0.9606976645227461,-9.227362818895806,4,2,2,8,10,4,4,6,0
3.3343623262077484,-3.2905059085691803,6,6,6,6,8,8,10,6,1
-0.4182842765198122,-3.676116642382848,6,6,6,10,8,6,10,6,1
-1.81678800117556,-3.7561161794063467,8,6,8,10,10,6,10,6,1
-4.1309096525651,-1.2468464879664205,10,8,6,8,10,4,10,6,1
-2.980154221877102,0.16687036290100793,8,10,6,8,10,6,8,6,1
7.904972549134218,-2.2743085564746677,2,4,6,6,4,6,8,8,0
-0.5335577900412511,-4.259535192178642,6,6,8,10,10,6,10,6,1
-1.3841206535392225,-0.6612358298028151,8,6,6,10,8,6,6,6,1
-3.692730847753508,1.0781398064662442,10,10,6,10,10,6,6,6,2
-4.327860219832733,6.107803977589462,10,10,6,6,10,2,6,4,2
-4.592085714043389,0.24234608036918676,10,8,6,8,10,4,8,4,2
4.7866416993917875,-7.666516082088098,2,2,6,6,10,8,10,8,0
