x,y,attribute
0.0,0.0,
2.9227580468616488,-1.1335351393857407,Housing
0.0,0.0,
2.7409054400595885,-1.1069606770193094,Cost of Living
0.0,0.0,
-0.0038646424170264426,-4.082819064720613,Commute
0.0,0.0,
-0.24317669866164243,-0.9253885773238169,Business Freedom
0.0,0.0,
-0.07362616713375104,-3.212805235513197,Safety
0.0,0.0,
-2.7465101552380258,-1.4996563303492922,Education
0.0,0.0,
-2.54532856753329,-1.583188157986203,Environmental Quality
0.0,0.0,
-2.420400083438839,0.94149311146587,Economy
